field,value
critical_roads[2].source,exp::tran_d26321a6-f614-4360-9058-4e04643b3724:0
critical_roads[2].target,exp::tran_fa43dee4-9965-4619-8088-515a5da4fbc4:0
critical_roads[3].affected_buildings,179
critical_roads[3].affected_estimated_elderly_population,61.232642
critical_roads[3].algorithm,tarjan_bridge_subtree_demand_v1
critical_roads[3].component_id,0
critical_roads[3].edge_id,exp::7cfca270b52828ea788c
critical_roads[3].isolated_node_count,70
critical_roads[3].service_reachability_change.evacuation,179
critical_roads[3].service_reachability_change.medical,179
critical_roads[3].service_reachability_change.transport_hub,179
critical_roads[3].source,exp::tran_2794bed8-5e5e-4bea-b817-6c1ef94679af:0
critical_roads[3].target,exp::tran_bbcfdba2-3293-47f6-a15e-ed9330ab0adf:0
critical_roads[4].affected_buildings,175
critical_roads[4].affected_estimated_elderly_population,59.563646
critical_roads[4].algorithm,tarjan_bridge_subtree_demand_v1
critical_roads[4].component_id,0
critical_roads[4].edge_id,exp::59ea5dec9330368752ad
critical_roads[4].isolated_node_count,69
critical_roads[4].service_reachability_change.evacuation,175
critical_roads[4].service_reachability_change.medical,175
critical_roads[4].service_reachability_change.transport_hub,175
critical_roads[4].source,exp::tran_2794bed8-5e5e-4bea-b817-6c1ef94679af:0
critical_roads[4].target,exp::tran_a09f8243-a0fa-4fe9-bf44-78a484404b01:0
critical_roads[5].affected_buildings,166
critical_roads[5].affected_estimated_elderly_population,57.050897
critical_roads[5].algorithm,tarjan_bridge_subtree_demand_v1
critical_roads[5].component_id,0
critical_roads[5].edge_id,exp::98d7aa507163a13c7c8a
critical_roads[5].isolated_node_count,66
critical_roads[5].service_reachability_change.evacuation,166
critical_roads[5].service_reachability_change.medical,166
critical_roads[5].service_reachability_change.transport_hub,166
critical_roads[5].source,exp::tran_62b7c2ef-1349-4134-8559-b554ddc50dde:0
critical_roads[5].target,exp::tran_c72cf83c-d702-4fce-9998-0d67175e62bc:0
critical_roads[6].affected_buildings,124
critical_roads[6].affected_estimated_elderly_population,82.246901
critical_roads[6].algorithm,tarjan_bridge_subtree_demand_v1
critical_roads[6].component_id,0
critical_roads[6].edge_id,exp::1d9751bc8b22290ed3f2
critical_roads[6].isolated_node_count,38
critical_roads[6].service_reachability_change.evacuation,124
critical_roads[6].service_reachability_change.medical,124
critical_roads[6].service_reachability_change.transport_hub,124
critical_roads[6].source,exp::tran_08acbf95-b417-4bb5-a4a8-2f56bf37ec18:0
critical_roads[6].target,exp::tran_cc4fac92-a2b4-4c76-a35d-3b244111e5c0:0
critical_roads[7].affected_buildings,115
critical_roads[7].affected_estimated_elderly_population,91.046464
critical_roads[7].algorithm,tarjan_bridge_subtree_demand_v1
critical_roads[7].component_id,0
critical_roads[7].edge_id,exp::e42f1acc1d573c95d195
critical_roads[7].isolated_node_count,67
critical_roads[7].service_reachability_change.evacuation,115
critical_roads[7].service_reachability_change.medical,115
critical_roads[7].service_reachability_change.transport_hub,0
critical_roads[7].source,exp::tran_470a9040-4f93-4399-92b8-9f8c75954b28:0
critical_roads[7].target,exp::tran_86c06818-d212-41d0-8760-e32775356a8c:0
critical_roads[8].affected_buildings,109
critical_roads[8].affected_estimated_elderly_population,87.695618
critical_roads[8].algorithm,tarjan_bridge_subtree_demand_v1
critical_roads[8].component_id,0
critical_roads[8].edge_id,exp::d4aed9edca8ab11738e1
critical_roads[8].isolated_node_count,66
critical_roads[8].service_reachability_change.evacuation,109
critical_roads[8].service_reachability_change.medical,109
critical_roads[8].service_reachability_change.transport_hub,0
critical_roads[8].source,exp::tran_42018095-3a77-45ab-b035-9d1d14f77572:0
critical_roads[8].target,exp::tran_470a9040-4f93-4399-92b8-9f8c75954b28:0
critical_roads[9].affected_buildings,58
critical_roads[9].affected_estimated_elderly_population,33.258359
critical_roads[9].algorithm,tarjan_bridge_subtree_demand_v1
critical_roads[9].component_id,0
critical_roads[9].edge_id,exp::538c932fd0990fca08ba
critical_roads[9].isolated_node_count,20
critical_roads[9].service_reachability_change.evacuation,58
critical_roads[9].service_reachability_change.medical,58
critical_roads[9].service_reachability_change.transport_hub,58
critical_roads[9].source,exp::tran_7137ecf5-31cc-45da-bf23-46859c861a41:0
critical_roads[9].target,exp::tran_89b17301-57c1-4e1f-9ed6-d20b7d10969a:0
dataset_years.plateau,2025
dataset_years.population,2020
field_verification.automatic_approval,False
field_verification.status,municipal review pending
generation_method,deterministic structured export
limitations[0],"Counterfactual stress test on the experimental PLATEAU LOD1 road-surface adjacency graph; this is not a prediction of disaster damage, road passability, pedestrian routing, evacuation movement or crowd behavior."
network.buildings_with_network_demand,28448
network.edges,23437
network.nodes,15684
network.semantics,"experimental PLATEAU LOD1 road-surface adjacency, not pedestrian network"
network.version,exp-4fff5849d650a70b
scenario_alternatives[0].alternative_available,True
scenario_alternatives[0].distance_increase_m,273.522246
scenario_alternatives[0].primary_route.distance_m,30.373817
scenario_alternatives[0].primary_route.edge_ids[0],exp::0003d0710612af629c6e
scenario_alternatives[0].primary_route.node_ids[0],exp::tran_9e854a6f-a9c6-45d4-bf23-a857df961c46:0
scenario_alternatives[0].primary_route.node_ids[1],exp::tran_d4b05639-1ea1-4222-864a-08ba69ce651a:0
scenario_alternatives[0].route_semantics,road-surface adjacency; not a validated pedestrian route
scenario_alternatives[0].second_best_route.distance_m,303.896064
scenario_alternatives[0].second_best_route.edge_ids[0],exp::90fde3cfb7309a610c57
scenario_alternatives[0].second_best_route.edge_ids[1],exp::826cbcb3fd3138c6f300
scenario_alternatives[0].second_best_route.edge_ids[2],exp::fd7d813a35441bfd3719
scenario_alternatives[0].second_best_route.edge_ids[3],exp::1383ce2cd3999fd5b117
scenario_alternatives[0].second_best_route.edge_ids[4],exp::ddbae3be66d1fd1a0667
scenario_alternatives[0].second_best_route.edge_ids[5],exp::6d8d3dd3f2dbc262cede
scenario_alternatives[0].second_best_route.edge_ids[6],exp::b177187bf4e174de6769
scenario_alternatives[0].second_best_route.edge_ids[7],exp::213bb1c935051de8d30c
scenario_alternatives[0].second_best_route.edge_ids[8],exp::766e23347b12e789ee4b
scenario_alternatives[0].second_best_route.node_ids[0],exp::tran_9e854a6f-a9c6-45d4-bf23-a857df961c46:0
scenario_alternatives[0].second_best_route.node_ids[1],exp::tran_2d186638-6dbc-4cd0-b195-fefa95c9e350:0
scenario_alternatives[0].second_best_route.node_ids[2],exp::tran_391991cc-074d-42f7-a25f-afe8ecd9f0bd:0
scenario_alternatives[0].second_best_route.node_ids[3],exp::tran_c2f80d47-1d1f-4234-b668-81eed5231dcf:0
scenario_alternatives[0].second_best_route.node_ids[4],exp::tran_127b399c-154f-4596-9e4f-f20985ebded5:0
scenario_alternatives[0].second_best_route.node_ids[5],exp::tran_c8156fb8-5f42-42b8-ac24-08cbddd222fb:0
scenario_alternatives[0].second_best_route.node_ids[6],exp::tran_b16b38a7-08ee-4daf-9a00-40ba9510b9fa:0
scenario_alternatives[0].second_best_route.node_ids[7],exp::tran_f1d9145f-80bf-48db-bf17-e3f6297374b2:0
scenario_alternatives[0].second_best_route.node_ids[8],exp::tran_33dacec3-7c6d-4201-b17d-9741c4c20ef4:0
scenario_alternatives[0].second_best_route.node_ids[9],exp::tran_d4b05639-1ea1-4222-864a-08ba69ce651a:0
scenario_alternatives[0].selected_destination_node,exp::tran_d4b05639-1ea1-4222-864a-08ba69ce651a:0
scenario_alternatives[0].selected_origin_node,exp::tran_9e854a6f-a9c6-45d4-bf23-a857df961c46:0
schema_version,evidence-v3.0.0
stress_test.baseline_component_count,5
stress_test.closed_edge_count,13632
stress_test.component_fragmentation_increase,8362
stress_test.largest_component_nodes,2946
stress_test.scenario_component_count,8367
stress_test.service_metrics.evacuation.baseline_reachable_buildings,28443
stress_test.service_metrics.evacuation.critical_facility_seed_count,79
stress_test.service_metrics.evacuation.estimated_elderly_population_disconnected,13356.162868
stress_test.service_metrics.evacuation.estimated_population_disconnected,45790.789956
stress_test.service_metrics.evacuation.maximum_network_distance_increase_m,2934.032197
stress_test.service_metrics.evacuation.mean_network_distance_increase_m,184.833787
stress_test.service_metrics.evacuation.newly_unreachable_buildings,19399
stress_test.service_metrics.evacuation.scenario_reachable_buildings,9044
stress_test.service_metrics.medical.baseline_reachable_buildings,28435
stress_test.service_metrics.medical.critical_facility_seed_count,68
stress_test.service_metrics.medical.estimated_elderly_population_disconnected,13849.998341
stress_test.service_metrics.medical.estimated_population_disconnected,46616.661312
stress_test.service_metrics.medical.maximum_network_distance_increase_m,3932.57062
stress_test.service_metrics.medical.mean_network_distance_increase_m,445.548475
stress_test.service_metrics.medical.newly_unreachable_buildings,20333
stress_test.service_metrics.medical.scenario_reachable_buildings,8102
stress_test.service_metrics.transport_hub.baseline_reachable_buildings,28443
stress_test.service_metrics.transport_hub.critical_facility_seed_count,119
stress_test.service_metrics.transport_hub.estimated_elderly_population_disconnected,13751.052278
stress_test.service_metrics.transport_hub.estimated_population_disconnected,46295.359755
stress_test.service_metrics.transport_hub.maximum_network_distance_increase_m,1499.1499
stress_test.service_metrics.transport_hub.mean_network_distance_increase_m,141.082493
stress_test.service_metrics.transport_hub.newly_unreachable_buildings,19967
stress_test.service_metrics.transport_hub.scenario_reachable_buildings,8476
urban_state,maizuru-2025-observed
